GPU_Name,brand,model,memory,memory_interface,clock_speed,Price,VRAM,Clock_Speed,Category,Usage
MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-bit HDMI/DP NVLink Torx Fan Turing Architecture Overclocked G-SYNC Graphics Card ,MSI, GeForce RTX 2070 SUPER , 8 GB ,4, 1785 MHz ,32800,8,1785,Basic-Level,Work/Home
"EVGA GeForce GTX 1080 Ti FTW3 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, 3X Async Fan Control, Optimized Airflow Design Graphics Card 11G-P4-6696-KR",EVGA, GeForce GTX 1080 Ti FTW3 Gaming , 11 GB ,3, 1683 MHz ,42320,11,1683,Basic-Level,Gaming or High-end
"EVGA GeForce GTX 1080 Ti SC2 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, Asynch Fan, Optimized Airflow Design Graphics Card 11G-P4-6593-KR",EVGA, GeForce GTX 1080 Ti SC2 Gaming , 11 GB ,3, 1670 MHz ,41599.2,11,1670,Basic-Level,Gaming or High-end
MSI GEFORCE GTX1080 TI GAMING X 11G,MSI, GeForce GTX 1080 Ti , 11 GB ,2, 1683 MHz ,33599.2,11,1683,Basic-Level,Gaming or High-end
"Gigabyte Radeon Rx 5700 Xt Gaming OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, Video Card",Gigabyte, Radeon Rx 5700 Xt , 8 GB ,4, 1905 MHz ,41516,8,1905,Basic-Level,Work/Home
PowerColor Navi AMD Radeon RX 5700 XT 8GB GDDR6 AXRX 5700Xt 8GBD6-M3DH,PowerColor, AXRX 5700XT 8GBD6-M3DH , 8 GB ,4, 1905 MHz ,71920,8,1905,Basic-Level,Work/Home
Sapphire Radeon PULSE RX 5700 Xt 8GB GDDR6 HDMI/ TRIPLE DP OC w/ Backplate (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon RX 5700 XT , 8 GB ,4, 1925 MHz ,67279.2,8,1925,Basic-Level,Work/Home
MSI Gaming Radeon Rx 5700 Xt Boost Clock: 1925 MHz 256-bit 8GB GDDR6 DP/HDMI Dual Fans Crossfire Freesync Navi Architecture Graphics Card,MSI, Radeon RX 5700 XT , 8 GB ,4, 1815 MHz ,30239.2,8,1815,Basic-Level,Work/Home
XFX RX 5700 Xt Thicc III Ultra 8GB Boost Up to 2025MHz GDDR6 3xDP HDMI Graphics Card,XFX, Radeon RX 5700 XT , 8 GB ,4, 2025 MHz ,71996,8,2025,Basic-Level,Work/Home
PowerColor Red Devil Radeon 8GB GDDR6 Graphics Card,PowerColor, Radeon RX 5700 XT , 8 GB ,4, 1905 MHz ,32960.8,8,1905,Basic-Level,Work/Home
MSI Gaming Radeon Rx 5700 Xt 256-bit 8GB GDDR6 HDMI/DP Dual Fans Crossfire Freesync Navi Architecture Graphics Card ,MSI, Radeon RX 5700 XT , 8 GB ,4, 1980 MHz ,27120,8,1980,Basic-Level,Work/Home
Sapphire Radeon NITRO+ RX 5700 XT 8GB GDDR6 Dual HDMI / Dual DP OC (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon NITRO+ , 8 GB ,4, 2010 MHz ,34631.2,8,2010,Basic-Level,Work/Home
XFX RX 5700 XT Triple Dissipation 8GB GDDR6 3xDP HDMI Graphics Card,XFX, Radeon RX 5700 XT , 8 GB ,4, 1905 MHz ,71996,8,1905,Basic-Level,Work/Home
ASRock VCX RX 5700 XT Challenger D 8G OC 8GB GDDR6 PCIE 256B HDMI 3xDP Retail ,ASRock, RX5700 XT , 8 GB ,4, 1905 MHz ,31440,8,1905,Basic-Level,Work/Home
PowerColor Radeon Rx 5700 Xt 8GB GDDR6 Graphics Card,PowerColor, Radeon RX 5700 XT , 8 GB ,4, 1905 MHz ,37598.4,8,1905,Basic-Level,Work/Home
"ASUS TUF Gaming 3 AMD Radeon RX 5700XT OC Edition Gaming Graphics Card (PCIe 4.0, 8GB, GDDR6, HDMI, DisplayPort, Axial-tech Fan Design",ASUS, TUF RX 5700XT OC Edition , 8 GB ,4, 1980 MHz ,135908.8,8,1980,Basic-Level,Work/Home
PowerColor Red Dragon AMD Radeon RX 5700 XT 8GB AXRX 5700XT 8GBD6-3DHR/OC,PowerColor, Red Dragon RX 5700 XT , 8 GB ,4, 1905 MHz ,37599.2,8,1905,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2070 8GB GDRR6 256-Bit HDMI/DP DirectX 12 VR Ready Ray Tracing Turing Architecture HDCP Graphics Card ,MSI, GeForce RTX 2070 , 8 GB ,4, 1620 MHz ,34320,8,1620,Basic-Level,Work/Home
MSI GAMING GeForce RTX 2070 8GB GDRR6 256-bit HDMI/DP/USB Ray Tracing Turing Architecture HDCP Graphics Card,MSI, GeForce RTX 2070 VENTUS 8G , 8 GB ,4, 1620 MHz ,47999.2,8,1620,Basic-Level,Work/Home
ZOTAC GAMING GeForce RTX 2070 AMP Extreme 8GB GDDR6 256-bit RGB LED Metal Wrap Backplate Graphics Card,ZOTAC, GAMING GeForce RTX 2070 AMP Extreme , 8 GB ,4, 1860 MHz ,103120,8,1860,Basic-Level,Work/Home
"EVGA GeForce RTX 3060 XC Gaming, 12GB GDDR6, Dual-Fan, Metal Backplate",EVGA, RTX 3060 XC , 12 GB ,4, 1882 MHz ,33199.2,12,1882,Basic-Level,Gaming or High-end
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Twin-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X 12G),MSI, GeForce RTX 3060 Gaming X 12G , 12 GB ,4, 1837 MHz ,34652,12,1837,Basic-Level,Gaming or High-end
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control",ZOTAC, RTX 3060 Twin Edge OC , 12 GB ,4, 1807 MHz ,35366.4,12,1807,Basic-Level,Gaming or High-end
"ASUS Phoenix NVIDIA GeForce RTX 3060 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design",ASUS, PH-RTX3060-12G , 12 GB ,4, 1807 MHz ,39920,12,1807,Basic-Level,Gaming or High-end
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),MSI, RTX 3060 Ventus 3X 12G OC , 12 GB ,4, 1807 MHz ,34800,12,1807,Basic-Level,Gaming or High-end
"ZOTAC Gaming GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control",ZOTAC, RTX 3060 Twin Edge , 12 GB ,4, 1777 MHz ,39920,12,1777,Basic-Level,Gaming or High-end
Nvidia Geforce RTX 2060 Super Founders Edition Graphics Card,NVIDIA, Geforce RTX 2060 , 8 GB ,4, 1650 MHz ,35920,8,1650,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2060 Super 8GB GDRR6 256-bit HDMI/DP G-SYNC Turing Architecture Overclocked Graphics Card ,MSI, RTX 2060 Super Gaming X , 8 GB ,4, 1695 MHz ,35928,8,1695,Basic-Level,Work/Home
"ASUS Dual NVIDIA GeForce RTX 2060 Super EVO V2 OC Edition Gaming Graphics Card (PCIe 3.0, 8GB GDDR6 Memory, HDMI, DisplayPort, DVI-D, Axial-Tech Fan, 0dB Technology, DirectCU II, Auto-Extreme)",ASUS, GeForce RTX 2060 Super EVO , 8 GB ,4, 1695 MHz ,33571.2,8,1695,Basic-Level,Work/Home
"Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphics Card, 2X Windforce Fans, 8GB 256-bit GDDR6",Gigabyte, GeForce RTX 2060 SUPER , 8 GB ,4, 1680 MHz ,32335.2,8,1680,Basic-Level,Work/Home
"EVGA GeForce RTX 2060 Super SC Ultra Gaming, 8GB GDDR6, Dual HDB Fans",EVGA, GeForce RTX 2060 SUPER , 8 GB ,4, 1680 MHz ,102800,8,1680,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2060 Super 8GB GDRR6 256-Bit HDMI/DP G-Sync Turing Architecture Overclocked Graphics Card ,MSI, GeForce RTX 2060 Super , 8 GB ,4, 1665 MHz ,32888,8,1665,Basic-Level,Work/Home
"ZOTAC GAMING GeForce RTX 2060 SUPER MINI 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, Ice Storm 2.0, Super Compact",ZOTAC, GeForce RTX 2060 SUPER , 8 GB ,4, 1650 MHz ,33599.2,8,1650,Basic-Level,Work/Home
PowerColor AMD Radeon RX 5700 8GB GDDR6 AXRX 5700 8GBD6-M3DH,PowerColor, AXRX 5700 8GBD6-M3DH , 8 GB ,4, 1725 MHz ,71920,8,1725,Basic-Level,Work/Home
"EVGA 06G-P4-2067-KR GeForce RTX 2060 SC Ultra Gaming, 6GB GDDR6, Dual HDB Fans",EVGA, GeForce RTX 2060 SC Ultra Gaming , 6 GB ,4, 1755 MHz ,28800,6,1755,Basic-Level,Work/Home
ASUS DUAL RTX 2060 Overclocked 6G VR Ready Gaming Graphics Card â?Turing Architecture,Asus, DUAL-RTX2060-O6G , 6 GB ,4, 1785 MHz ,38320,6,1785,Basic-Level,Work/Home
"EVGA GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans",EVGA, GeForce RTX 2060 , 6 GB ,4, 1755 MHz ,21599.2,6,1755,Basic-Level,Work/Home
ASUS TUF Gaming GeForce RTX 2060 Overclocked 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Graphics Card,Asus, TUF-RTX2060-O6G-GAMING , 6 GB ,4, 1740 MHz ,129296.8,6,1740,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card ,MSI, GeForce RTX 2060 VENTUS XS , 6 GB ,4, 1710 MHz ,47920,6,1710,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card,MSI, GeForce RTX 2060 VENTUS 6G OC , 6 GB ,4, 1710 MHz ,31679.2,6,1710,Basic-Level,Work/Home
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card ,ASUS, GeForce RTX 2060 , 6 GB ,4, 1785 MHz ,25896.8,6,1785,Basic-Level,Work/Home
"GIGABYTE GeForce RTX 2060 Windforce OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR6",Gigabyte, GeForce RTX 2060 , 6 GB ,4, 1770 MHz ,19577.6,6,1770,Basic-Level,Work/Home
"ZOTAC Gaming GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact",ZOTAC, GeForce RTX 2060 , 6 GB ,4, 1680 MHz ,23999.2,6,1680,Basic-Level,Work/Home
"ZOTAC Gaming GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, IceStorm 2.0",ZOTAC, GeForce RTX 2060 , 6 GB ,4, 1680 MHz ,38399.2,6,1680,Basic-Level,Work/Home
ASUS ROG STRIX GeForce RTX 2060 Overclocked 6G GDDR6 HDMI DP 1.4 Gaming Graphics Card (ROG-STRIX-RTX-2060-O6G),Asus, ROG-STRIX-RTX2060-O6G-GAMING , 6 GB ,4, 1860 MHz ,48000,6,1860,Basic-Level,Work/Home
"GIGABYTE GeForce RTX 2060 Gaming OC Pro 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR6, GV-N2060GAMINGOC PRO-6GD Video Card",Gigabyte, GeForce RTX 2060 , 6 GB ,4, 1830 MHz ,105520,6,1830,Basic-Level,Work/Home
"EVGA GeForce RTX 2060 XC Black Edition Gaming, 6GB GDDR6, HDB Fan Graphics Card",EVGA, GeForce RTX 2060 XC Black Edition , 6 GB ,4, 1680 MHz ,41975.2,6,1680,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 GAMING X 8G),MSI, GTX 1080 GAMING X 8G , 8 GB ,3, 1847 MHz ,26640,8,1847,Basic-Level,Work/Home
Sapphire Radeon Pulse RX 5600 XT 14GBPS 6GB GDDR6 HDMI / Triple DP OC w/ backplate (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon RX 5600 XT , 6 GB ,4, 1750 MHz ,29600,6,1750,Basic-Level,Work/Home
XFX RX 5600 XT THICC II PRO -14GBPS 6GB GDDR6 BOOST UP TO 1620MHz 3xDP HDMI Graphics Card ,XFX, RX 5600 XT , 6 GB ,4, 1620 MHz ,38320,6,1620,Basic-Level,Work/Home
MSI Gaming Radeon RX 5600 XT Boost Clock: 1600 MHz 192-bit 6GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Freesync DirectX 12 Ready Graphics Card,MSI, Radeon RX 5600 XT , 6 GB ,4, 1420 MHz ,25128,6,1420,Basic-Level,Work/Home
"ASUS ROG Strix AMD Radeon RX 5600 XT OC Edition Gaming Graphics Card (PCIe 4.0, 6GB, GDDR6 Memory, HDMI, DisplayPort, Axial-tech Fan Design",ASUS, ROG Strix RX 5600 XT OC Edition , 6 GB ,4, 1770 MHz ,31920,6,1770,Basic-Level,Work/Home
"EVGA GeForce 08G-P4-5671-KR, GTX 1070 Ti SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, EVGA OCX Scanner OC, White LED, DX12OSD Support (PXOC) Graphics Card",EVGA, 08G-P4-5671-KR , 8 GB ,2, 1683 MHz ,19317.6,8,1683,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1070 Ti 8GB GDRR5 256-bit HDCP Support DirectX 12 SLI Twin Frozr Heat Pipes Dual TORX 2.0 Fan VR Ready Graphics Card (GTX 1070 TI Gaming 8G),MSI, GeForce GTX 1070 TI GAMING 8G , 8 GB ,2, 1683 MHz ,27920,8,1683,Basic-Level,Work/Home
GIGABYTE GeForce GTX 1660 Ti Gaming OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 3X Cooling System Graphic Cards,Gigabyte, GV-N166TGAMING OC-6GD , 6 GB ,4, 1860 MHz ,31920,6,1860,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 Ti , 6 GB ,4, 1875 MHz ,27920,6,1875,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 TI ARMOR 6G OC , 6 GB ,4, 1860 MHz ,43159.2,6,1860,Basic-Level,Work/Home
Asus TUF Gaming GeForce GTX 1660Ti Overclocked 6GB Dual-Fan Edition HDMI DP DVI Gaming Graphics Card,Asus, TUF-GTX1660TI-O6G-Gaming , 6 GB ,4, 1830 MHz ,45999.2,6,1830,Basic-Level,Work/Home
ASUS GeForce GTX 1660 Ti 6GB Dual-fan Overclocked Edition VR Ready Dual HDMI DP 1.4 Gaming Graphics Card (Dual-GTX1660TI-O6G),Asus, 90YV0CT2-M0AA00 , 6 GB ,4, 1830 MHz ,26399.2,6,1830,Basic-Level,Work/Home
ZOTAC Gaming GeForce GTX 1660 Ti AMP 6GB GDDR6 192-bit Graphics Card Super Compact IceStorm 2.0 Cooling,ZOTAC, ZT-T16610D-10M , 6 GB ,4, 1860 MHz ,79108.8,6,1860,Basic-Level,Work/Home
GIGABYTE GeForce GTX 1660 Ti OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 2X Cooling System Graphic Cards,Gigabyte, GeForce GTX 1660 Ti , 6 GB ,4, 1800 MHz ,29593.6,6,1800,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 Ti VENTUS XS 6G OC , 6 GB ,4, 1830 MHz ,47999.2,6,1830,Basic-Level,Work/Home
"EVGA GeForce GTX 1660 Ti XC, Overclocked, 2.75 Slot Extreme Cool, 65C Gaming, 6GB GDDR6, 06G-P4-1263-KR",EVGA, GeForce GTX 1660 Ti XC , 6 GB ,4, 1845 MHz ,27920,6,1845,Basic-Level,Work/Home
ZOTAC Gaming GeForce GTX 1660 Ti 6GB GDDR6 192-Bit Gaming Graphics Card Super Compact - ZT-T16610F-10L,ZOTAC, GeForce GTX 1660 Ti , 6 GB ,4, 1770 MHz ,31920,6,1770,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card ,MSI, GeForce GTX 1660 , 6 GB ,4, 1815 MHz ,21120,6,1815,Basic-Level,Work/Home
Asus TUF Gaming GeForce GTX 1660 Super Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card ,ASUS, GeForce GTX 1660 SUPER , 6 GB ,4, 1845 MHz ,22399.2,6,1845,Basic-Level,Work/Home
"Gigabyte GeForce GTX 1660 Super OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR6, Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB ,4, 1830 MHz ,29584,6,1830,Basic-Level,Work/Home
"EVGA GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",EVGA, GeForce GTX 1660 SUPER , 6 GB ,4, 1830 MHz ,19199.2,6,1830,Basic-Level,Work/Home
"Gigabyte GeForce GTX 1660 Super Gaming OC 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR6, OC-6GD Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB ,4, 1860 MHz ,54320,6,1860,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 SUPER , 6 GB ,4, 1830 MHz ,26332.8,6,1830,Basic-Level,Work/Home
Asus GeForce GTX 1660 Super Overclocked 6GB Dual-Fan Evo Edition VR Ready HDMI DisplayPort DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB ,4, 1860 MHz ,23247.2,6,1860,Basic-Level,Work/Home
ASUS ROG Strix GeForce GTX 1660 Super Advanced 6GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card,ASUS, ROG Strix GeForce GTX 1660 Super , 6 GB ,4, 1845 MHz ,24897.6,6,1845,Basic-Level,Work/Home
"ZOTAC Gaming GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact",ZOTAC, Geforce GTX 1660 SUPER TWIN FAN , 6 GB ,4, 1785 MHz ,21893.6,6,1785,Basic-Level,Work/Home
Asus GeForce GTX 1660 Super Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB ,4, 1830 MHz ,19816.8,6,1830,Basic-Level,Work/Home
ASUS GeForce GTX 1070 8GB ROG Strix OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING,Asus, STRIX-GTX1070-O8G-GAMING , 8 GB ,2, 1860 MHz ,331688,8,1860,Basic-Level,Work/Home
ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 VR Ready Super Compact Gaming Graphics Card (ZT-P10700G-10M),ZOTAC, ZT-P10700G-10M , 8 GB ,2, 1708 MHz ,15199.2,8,1708,Basic-Level,Work/Home
"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Graphics Card",EVGA, 08G-P4-6276-KR , 8 GB ,2, 1797 MHz ,60202.4,8,1797,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card ,MSI, GeForce GTX 1070 , 8 GB ,2, 797 MHz ,23075.2,8,797,Basic-Level,Work/Home
"EVGA GeForce GTX 1660 XC Black Gaming, 6GB GDDR5, HDB Fan",EVGA, 06G-P4-1161-KR , 6 GB ,2, 1785 MHz ,25920,6,1785,Basic-Level,Work/Home
MSI GTX 1660 Ventus XS 6GB GDDR6 Graphics Card,MSI, GTX 1660 Ventus , 6Â GB ,4, 1830 MHz ,19919.2,6,1830,Basic-Level,Work/Home
"EVGA GeForce GTX 1660 XC Ultra Gaming, 6GB GDDR5, HDB Fan, 06G-P4-1167-KR",EVGA, GTX 1660 XC Ultra Gaming , 6 GB ,2, 1845 MHz ,35575.2,6,1845,Basic-Level,Work/Home
"EVGA GeForce GTX 1660 SC Ultra Gaming, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan",EVGA, GeForce GTX 1660 SC Ultra Gaming , 6 GB ,2, 1830 MHz ,18399.2,6,1830,Basic-Level,Work/Home
"EVGA 06G-P4-1163-KR GeForce Graphics Cards, GTX 1660, XC Gaming",EVGA, 06G-P4-1163-KR , 6 GB ,2, 1830 MHz ,27857.6,6,1830,Basic-Level,Work/Home
"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-Bit GDDR5, Video Card",Gigabyte, GeForce GTX 1660 , 6 GB ,2, 1830 MHz ,26853.6,6,1830,Basic-Level,Work/Home
"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600F-10L",ZOTAC, GeForce GTX 1660 , 6 GB ,2, 1785 MHz ,60000,6,1785,Basic-Level,Work/Home
"GIGABYTE Radeon RX 5500 XT OC 8G Graphics Card, PCIe 4.0, 8GB 128-Bit GDDR6",Gigabyte, Radeon RX 5500 XT , 8 GB ,4, 1845 MHz ,20805.6,8,1845,Basic-Level,Work/Home
"VisionTek Radeon RX 5500 XT Graphic Card - 8GB GDDR6-1.61 GHz Core, 128 bit Bus Width, DisplayPort, HDMI, DVI",VisionTek, RX 5500 XT , 8 GB ,4, 1845 MHz ,23600,8,1845,Basic-Level,Work/Home
ASRock AMD Radeon RX5500XT Video Board GDDR6 4GB CHALLENGER Series RX5500XT Challenger D 4G OC,ASRock, RXRX 5500 XT Challenger D 4G OC , 4 GB ,4, 1845 MHz ,20796,4,1845,Basic-Level,Student
ASUS ROG Strix AMD Radeon RX 5500XT Overclocked 8G GDDR6 1440p HDMI DisplayPort Gaming Graphics Card,ASUS, ROG Strix RX 5500XT OC , 8 GB ,4, 1865 MHz ,23920,8,1865,Basic-Level,Work/Home
"Gigabyte Radeon RX 5500 XT OC 4G Graphics Card, PCIe 4.0, 4GB 128-Bit GDDR6, Video Card",Gigabyte, RX 5500 XT OC 4G , 4 GB ,4, 1845 MHz ,15999.2,4,1845,Basic-Level,Student
ASUS AMD Radeon RX 5500XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card,ASUS, RX 5500XT EVO Edition OC 8G , 8 GB ,4, 1865 MHz ,63972.8,8,1865,Basic-Level,Work/Home
MSI Gaming Radeon RX 5500 XT Boost Clock: 1845 MHz 128-bit 8GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Crossfire Freesync VR Ready Graphics Card,MSI, RX 5500 XT GAMING X 8G , 8 GB ,4, 1845 MHz ,41200,8,1845,Basic-Level,Work/Home
Asus TUF Gaming GeForce GTX 1650 Super Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card ,ASUS, GeForce GTX 1650 Super , 4 GB ,4, 1800 MHz ,37320,4,1800,Basic-Level,Student
MSI Gaming GeForce GTX 1650 Super 128-Bit HDMI/DP 4GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GTX 1650 Super Gaming X , 4 GB ,4, 1755 MHz ,50580.8,4,1755,Basic-Level,Student
MSI GeForce GTX 1650 Super Ventus XS OC Gaming GeForce GTX 1650 Super 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1650 Super Ventus XS OC , 4 GB ,4, 1740 MHz ,51199.2,4,1740,Basic-Level,Student
"ZOTAC Gaming GeForce GTX 1650 Super Twin Fan 4GB GDDR6 128-Bit Gaming Graphics Card, Super Compact",ZOTAC, GeForce GTX 1650 Super , 4 GB ,4, 1725 MHz ,31120,4,1725,Basic-Level,Student
ASUS GeForce GTX 1650 Super Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card,ASUS, GeForce GTX 1650 Super , 4 GB ,4, 1770 MHz ,19972.8,4,1770,Basic-Level,Student
"EVGA GeForce GTX 1650 Super SC Ultra Gaming, 4GB GDDR6, Dual Fan",EVGA, GeForce GTX 1650 Super , 4 GB ,4, 1755 MHz ,15999.2,4,1755,Basic-Level,Student
"Gigabyte GeForce GTX 1650 Super OC 4G Graphics Card, 90mm Fan, 4GB 128-Bit GDDR6",Gigabyte, GeForce GTX 1650 Super , 4 GB ,4, 1740 MHz ,15916.8,4,1740,Basic-Level,Student
XFX RX-590P8DFD6 Radeon RX 590 Fatboy 8GB OC+ 1580MHz DDR5 3xDP HDMI DVI Graphic Cards,XFX, Radeon RX 590 , 8 GB ,2, 1600 MHz ,24000,8,1600,Basic-Level,Work/Home
Sapphire Radeon Nitro+ RX 590 8GB GDDR5 Dual HDMI/ DVI-D/ Dual DP OC with Backplate Special Edition (UEFI) PCI-E Graphic Cards 11289-01-20G,Sapphire, Radeon RX 590 , 8 GB ,2, 1560 MHz ,71908.8,8,1560,Mid-Range,Work/Home
"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card ",XFX, Radeon RX 580 , 8Â GB ,2, 1386 MHz ,39920,8,1386,Mid-Range,Work/Home
MSI VGA Graphic Cards,MSI, Radeon RX 580 , 8 GB ,2, 1366 MHz ,51996,8,1366,Mid-Range,Work/Home
Sapphire Pulse Radeon RX 580 8GB GDDR5 Graphics Card,SapphireTechnology, Radeon RX 580 , 8Â GB ,2, 1366 MHz ,29359.2,8,1366,Basic-Level,Work/Home
ASUS Radeon RX 580 8GB Dual-Fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card ,ASUS, Radeon RX 580 , 8 GB ,2, 1380 MHz ,35040,8,1380,Mid-Range,Work/Home
"XFX Radeon RX 580 GTS Black Edition 1405MHz OC+, 8gb 256bit GDDR5, DX12 VR Ready, Double Dissipation, Dual BIOS, 3xDP HDMI DVI",XFX, RX 580 GTS Black Edition , 8 GB ,2, 1405 MHz ,42396,8,1405,Mid-Range,Work/Home
PowerColor AMD Radeon RED DRAGON RX 580 8GB GDDR5 1 x DL DVI-D / 1 x HDMI / 3 x DisplayPort Graphics Card,PowerColor, RX 580 , 8 GB ,2, 1350 MHz ,23120,8,1350,Basic-Level,Work/Home
Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards ,Gigabyte, RX 580. GAMING 4GD , 4 GB ,2, 1355 MHz ,26399.2,4,1355,Basic-Level,Student
MSI Gaming Radeon RX 580 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphics Card,MSI, Radeon RX 580 8G V1 , 8 GB ,2, 1340 MHz ,59920,8,1340,Mid-Range,Work/Home
