driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
Samsung SSD 860 EVO 1TB,SSD,SSD,932,1805,11878.4,2018,Mid Performance SSD,1 TB
CT1000MX500SSD1,SSD,SSD,932,1832,7839.2,2017,Mid Performance SSD,1 TB
WDC WDS100T2B0A,SSD,SSD,932,1843,7999.2,2017,Mid Performance SSD,1 TB
Samsung SSD 850 EVO 1TB,SSD,SSD,932,1854,19600,2015,Mid Performance SSD,1 TB
SanDisk SDSSDH3 1T00,SSD,SSD,932,1899,7999.2,2019,Mid Performance SSD,1 TB
WDC WDS100T1R0B,SSD,SSD,932,1924,9200,2020,Mid Performance SSD,1 TB
PNY CS900 1TB SSD,SSD,SSD,932,1950,10160,2019,Mid Performance SSD,1 TB
Samsung SSD 840 EVO 1TB,SSD,SSD,932,1957,27911.2,2013,Mid Performance SSD,1 TB
Samsung SSD 860 EVO mSATA 1TB,SSD,SSD,932,1969,55999.2,2018,Mid Performance SSD,1 TB
SanDisk SDSSDA-1T00,SSD,SSD,932,1983,6399.2,2020,Mid Performance SSD,1 TB
WDC WDS100T1B0B,SSD,SSD,932,2007,25500,2016,Mid Performance SSD,1 TB
WDC WDS100T1B0A,SSD,SSD,932,2026,14398.4,2016,Mid Performance SSD,1 TB
T-FORCE 1TB,SSD,SSD,932,2105,8799.2,2018,Mid Performance SSD,1 TB
SanDisk Ultra II 1TB,SSD,SSD,932,2154,36252,2017,Mid Performance SSD,1 TB
Crucial CT1000BX100SSD1,SSD,SSD,932,2204,67704,2015,Mid Performance SSD,1 TB
Mushkin Reactor 1TB MKNSSDRE1TB,SSD,SSD,932,2257,17979.2,2015,Mid Performance SSD,1 TB
CT1000BX500SSD1,SSD,SSD,932,2765,6399.2,2019,Mid Performance SSD,1 TB
Samsung Portable SSD T5 1TB,SSD,SSD,932,2803,7999.2,2018,Mid Performance SSD,1 TB
HP SSD S700 1TB,SSD,SSD,932,3123,8399.2,2019,Basic SSD,1 TB
WDC WDS100T2G0A,SSD,SSD,932,3511,8960,2019,Basic SSD,1 TB
MKNSSDSR1TB,SSD,SSD,932,4383,9839.2,2019,Basic SSD,1 TB
WDC PC SN810 SDCPNRY-1T00,SSD,SSD,954,6,16720,2021,High Performance SSD,1 TB
Micron 3400 NVMe 1TB,SSD,SSD,954,43,14287.2,2021,High Performance SSD,1 TB
Viper M.2 VPN100 1TB,SSD,SSD,954,163,11570.4,2019,High Performance SSD,1 TB
INTEL SSDPEKNU010TZ,SSD,SSD,954,236,7199.2,2021,High Performance SSD,1 TB
WDC PC SN730 SDBPNTY-1T00,SSD,SSD,954,255,11996,2020,High Performance SSD,1 TB
NVMe WDC PC SN720 SED,SSD,SSD,954,258,11920,2019,High Performance SSD,1 TB
Samsung SSD 970 PRO 1TB,SSD,SSD,954,264,15999.2,2018,High Performance SSD,1 TB
addlink S70 M.2 G3x4 1TB,SSD,SSD,954,373,9990.4,2019,High Performance SSD,1 TB
MSI M370 1TB,SSD,SSD,954,381,11582.4,2021,High Performance SSD,1 TB
NVMe Micron 2300 NVMe,SSD,SSD,954,400,17440,2020,High Performance SSD,1 TB
Samsung PM981 1TB NVMe,SSD,SSD,954,403,19199.2,2017,High Performance SSD,1 TB
KXG6AZNV1T02 TOSHIBA,SSD,SSD,954,406,11999.2,2019,High Performance SSD,1 TB
HP SSD EX950 1TB,SSD,SSD,954,462,11919.2,2019,High Performance SSD,1 TB
XPG GAMMIX S11 Pro,SSD,SSD,954,467,11446.4,2019,High Performance SSD,1 TB
Samsung SM961 1TB NVMe,SSD,SSD,954,478,15920,2016,High Performance SSD,1 TB
HP SSD EX920 1TB,SSD,SSD,954,501,9599.2,2018,High Performance SSD,1 TB
Samsung SSD 960 PRO 1TB,SSD,SSD,954,514,9599.2,2016,High Performance SSD,1 TB
KXG60ZNV1T02 TOSHIBA,SSD,SSD,954,535,17680,2019,High Performance SSD,1 TB
Intel SSD 760P 1TB,SSD,SSD,954,536,18399.2,2018,High Performance SSD,1 TB
PLEXTOR PX-1TM9PeGN,SSD,SSD,954,592,19102.4,2018,High Performance SSD,1 TB
WDC PC SN530 SDBPTPZ-1T00,SSD,SSD,954,598,31894.4,2021,High Performance SSD,1 TB
ADATA FALCON,SSD,SSD,954,599,7599.2,2020,High Performance SSD,1 TB
GIGABYTE GP-GSM2NE3100TNTD,SSD,SSD,954,642,9851.2,2019,High Performance SSD,1 TB
Micron MTFDHBA1T0TCK,SSD,SSD,954,647,24504,2019,High Performance SSD,1 TB
Samsung PM961 1TB NVMe,SSD,SSD,954,663,21199.2,2016,High Performance SSD,1 TB
Toshiba XG5 SSD 1TB,SSD,SSD,954,667,19120,2017,High Performance SSD,1 TB
INTEL SSDPEKNW010T9,SSD,SSD,954,729,9600,2020,High Performance SSD,1 TB
PC SN530 NVMe WDC 1024GB,SSD,SSD,954,745,31108.8,2021,High Performance SSD,1 TB
NVMe XPG GAMMIX S5,SSD,SSD,954,832,7599.2,2019,High Performance SSD,1 TB
XPG GAMMIX S5,SSD,SSD,954,836,8239.2,2019,High Performance SSD,1 TB
WDC PC SN530 SDBPMPZ-1T00,SSD,SSD,954,842,31108.8,2021,High Performance SSD,1 TB
PLEXTOR PX-1TM9PeG,SSD,SSD,954,843,10959.2,2018,High Performance SSD,1 TB
TOSHIBA RD400 NVMe 1TB,SSD,SSD,954,928,7199.2,2016,High Performance SSD,1 TB
NVMe INTEL SSDPEKNW010T8,SSD,SSD,954,930,9752,2021,High Performance SSD,1 TB
Netac NVMe SSD 1TB,SSD,SSD,954,971,13403.2,2020,High Performance SSD,1 TB
Intel SSD 660p 1TB,SSD,SSD,954,973,6799.2,2018,High Performance SSD,1 TB
Patriot P300 1TB,SSD,SSD,954,1011,11584.8,2020,Mid Performance SSD,1 TB
HP SSD EX900 1TB,SSD,SSD,954,1064,9199.2,2019,Mid Performance SSD,1 TB
INTEL HBRPEKNX0203AH,SSD,SSD,954,1091,20720,2021,Mid Performance SSD,1 TB
Intel 600P Series 1TB,SSD,SSD,954,1344,66000,2016,Mid Performance SSD,1 TB
Intel SSD Pro 6000p 1TB,SSD,SSD,954,1497,26400,2017,Mid Performance SSD,1 TB
Transcend TS1TMTE110S,SSD,SSD,954,1513,10113.6,2019,Mid Performance SSD,1 TB
Samsung SSD 860 PRO 1TB,SSD,SSD,954,1701,39992,2018,Mid Performance SSD,1 TB
ADATA SU800 M.2 SSD 1TB,SSD,SSD,954,1737,12759.2,2019,Mid Performance SSD,1 TB
SanDisk SDSSDH3 1T02,SSD,SSD,954,1814,9599.2,2019,Mid Performance SSD,1 TB
