driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
TOSHIBA MG03ACA100,HDD,HDD,932,6128,3199.2,2014,Basic HDD,1 TB
Seagate ST1000DM003,HDD,HDD,932,6133,2480,2017,Basic HDD,1 TB
Seagate ST1000NM0033,HDD,HDD,932,6139,3119.2,2017,Basic HDD,1 TB
Seagate ST1000DM010,HDD,HDD,932,6174,3200,2016,Basic HDD,1 TB
Seagate ST1000VX005,HDD,HDD,932,6185,3999.2,2017,Basic HDD,1 TB
WDC WD1003FZEX,HDD,HDD,932,6190,5399.2,2013,Basic HDD,1 TB
Hitachi HDS721010DLE630,HDD,HDD,932,6254,8800,2011,Basic HDD,1 TB
WDC WD10SPSX,HDD,HDD,932,6259,4320,2020,Basic HDD,1 TB
Seagate ST1000VM002,HDD,HDD,932,6284,1999.2,2013,Basic HDD,1 TB
TOSHIBA MK1002TSKB,HDD,HDD,932,6302,7920,2012,Basic HDD,1 TB
TOSHIBA DT01ABA100V,HDD,HDD,932,6334,2098.4,2013,Basic HDD,1 TB
WDC WD10PURZ,HDD,HDD,932,6335,3599.2,2017,Basic HDD,1 TB
WDC WD10EFRX,HDD,HDD,932,6339,6356,2012,Basic HDD,1 TB
WDC WD10EZRX,HDD,HDD,932,6344,7199.2,2012,Basic HDD,1 TB
Seagate ST1000NM0011,HDD,HDD,932,6348,3879.2,2011,Basic HDD,1 TB
Seagate ST1000DX001,HDD,HDD,932,6351,13044,2015,Basic HDD,1 TB
WDC WD10EZRZ,HDD,HDD,932,6358,77331.2,2015,Basic HDD,1 TB
TOSHIBA MQ04ABF100,HDD,HDD,932,6361,2800,2017,Basic HDD,1 TB
Seagate ST1000DX002,HDD,HDD,932,6381,10876,2016,Basic HDD,1 TB
HGST HTS541010A7E630,HDD,HDD,932,6386,6399.2,2014,Basic HDD,1 TB
WDC WD1003FBYZ,HDD,HDD,932,6400,3199.2,2014,Basic HDD,1 TB
SAMSUNG HD103SJ,HDD,HDD,932,6416,9600,2009,Basic HDD,1 TB
WDC WD10EURX,HDD,HDD,932,6427,1999.2,2012,Basic HDD,1 TB
SAMSUNG HE103SJ,HDD,HDD,932,6432,12636,2010,Basic HDD,1 TB
HGST HTE721010A9E630,HDD,HDD,932,6435,6236,2014,Basic HDD,1 TB
Seagate ST1000LM049,HDD,HDD,932,6442,4400,2017,Basic HDD,1 TB
WDC WD10PURX,HDD,HDD,932,6459,4360,2014,Basic HDD,1 TB
WDC WD1003FBYX,HDD,HDD,932,6474,1976.8,2010,Basic HDD,1 TB
WDC WD1002FAEX,HDD,HDD,932,6504,8639.2,2010,Basic HDD,1 TB
TOSHIBA MQ01ABD100H,HDD,HDD,932,6509,3280,2013,Basic HDD,1 TB
Seagate ST31000524NS,HDD,HDD,932,6516,3836,2010,Basic HDD,1 TB
WDC WD10SPCX,HDD,HDD,932,6534,4239.2,2013,Basic HDD,1 TB
HGST HTS721010A9E630,HDD,HDD,932,6556,11765.6,2012,Basic HDD,1 TB
Seagate ST1000DM005,HDD,HDD,932,6574,6799.2,2012,Basic HDD,1 TB
WDC WD10JPLX,HDD,HDD,932,6582,5599.2,2016,Basic HDD,1 TB
WDC WD10EALS,HDD,HDD,932,6585,10399.2,2010,Basic HDD,1 TB
WDC WD1001FAES,HDD,HDD,932,6611,14320,2010,Basic HDD,1 TB
WDC WD10EALX,HDD,HDD,932,6620,5199.2,2011,Basic HDD,1 TB
WDC WD10SPZX,HDD,HDD,932,6622,3599.2,2016,Basic HDD,1 TB
Seagate ST31000533CS,HDD,HDD,932,6630,7991.2,2013,Basic HDD,1 TB
Hitachi HUA722010CLA331,HDD,HDD,932,6642,2399.2,2012,Basic HDD,1 TB
TOSHIBA MQ01ABD,HDD,HDD,932,6645,5168,2013,Basic HDD,1 TB
Seagate ST31000525SV,HDD,HDD,932,6685,7990.4,2009,Basic HDD,1 TB
Seagate ST1000DL002,HDD,HDD,932,6689,4399.2,2011,Basic HDD,1 TB
Seagate ST31000528AS,HDD,HDD,932,6696,7359.2,2009,Basic HDD,1 TB
WDC WD10JUCT,HDD,HDD,932,6699,6639.2,2013,Basic HDD,1 TB
Seagate ST31000520AS,HDD,HDD,932,6704,19996,2009,Basic HDD,1 TB
Hitachi HDS721010CLA632,HDD,HDD,932,6711,4400,2011,Basic HDD,1 TB
WDC WD1002FBYS,HDD,HDD,932,6720,15730.4,2009,Basic HDD,1 TB
TOSHIBA MQ01ABD100M,HDD,HDD,932,6723,3919.2,2016,Basic HDD,1 TB
WDC WD10EARX,HDD,HDD,932,6737,9599.2,2011,Basic HDD,1 TB
Seagate ST91000640NS,HDD,HDD,932,6741,7996,2013,Basic HDD,1 TB
Seagate ST31000524AS,HDD,HDD,932,6744,10088.8,2011,Basic HDD,1 TB
WDC WD10JPCX,HDD,HDD,932,6753,4559.2,2013,Basic HDD,1 TB
WDC WD10JPVX,HDD,HDD,932,6766,3519.2,2013,Basic HDD,1 TB
TOSHIBA MQ01ABD100,HDD,HDD,932,6769,2799.2,2012,Basic HDD,1 TB
Seagate ST31000526SV,HDD,HDD,932,6798,9647.2,2011,Basic HDD,1 TB
Hitachi HDS721010CLA332,HDD,HDD,932,6799,9892.8,2009,Basic HDD,1 TB
Seagate ST1000LM035,HDD,HDD,932,6814,3196,2016,Basic HDD,1 TB
WDC WD10JPVT,HDD,HDD,932,6815,6399.2,2012,Basic HDD,1 TB
WDC WD1001FALS,HDD,HDD,932,6858,8730.4,2009,Basic HDD,1 TB
Seagate ST1000LM014,HDD,HDD,932,6867,7192.8,2013,Basic HDD,1 TB
SAMSUNG HD103UJ,HDD,HDD,932,6878,7153.6,2008,Basic HDD,1 TB
Hitachi HCS721010CLA332,HDD,HDD,932,6882,7920,2014,Basic HDD,1 TB
Seagate ST31000333AS,HDD,HDD,932,6895,19519.2,2009,Basic HDD,1 TB
Hitachi HTS541010A9E680,HDD,HDD,932,6950,3974.4,2012,Basic HDD,1 TB
WDC WD10S21X,HDD,HDD,932,6952,14879.2,2014,Basic HDD,1 TB
Seagate ST1000LM048,HDD,HDD,932,6953,3599.2,2016,Basic HDD,1 TB
SAMSUNG HD103SI,HDD,HDD,932,6957,4136.8,2009,Basic HDD,1 TB
WDC WD10EUCX,HDD,HDD,932,6961,7045.6,2013,Basic HDD,1 TB
Seagate ST1000LM024,HDD,HDD,932,6968,2959.2,2012,Basic HDD,1 TB
TOSHIBA MQ02ABF100,HDD,HDD,932,6972,11400,2014,Basic HDD,1 TB
HP GB1000EAFJL,HDD,HDD,932,6976,11040,2012,Basic HDD,1 TB
WDC WD10J31X,HDD,HDD,932,6987,16360,2015,Basic HDD,1 TB
Seagate ST31000340NS,HDD,HDD,932,6995,3431.2,2009,Basic HDD,1 TB
