driveName,Type,Capacity  (in GBs),Benchmark Rank,Price,Release_Date
WDC WDS100T2G0A,SSD,932,3511," INR 8,960.00 ",2019
MKNSSDSR1TB,SSD,932,4383," INR 9,839.20 ",2019
WDC PC SN810 SDCPNRY-1T00,SSD,954,6," INR 16,720.00 ",2021
Micron 3400 NVMe 1TB,SSD,954,43," INR 14,287.20 ",2021
Viper M.2 VPN100 1TB,SSD,954,163," INR 11,570.40 ",2019
INTEL SSDPEKNU010TZ,SSD,954,236," INR 7,199.20 ",2021
WDC PC SN730 SDBPNTY-1T00,SSD,954,255," INR 11,996.00 ",2020
NVMe WDC PC SN720 SED,SSD,954,258," INR 11,920.00 ",2019
Samsung SSD 970 PRO 1TB,SSD,954,264," INR 15,999.20 ",2018
addlink S70 M.2 G3x4 1TB,SSD,954,373," INR 9,990.40 ",2019
MSI M370 1TB,SSD,954,381," INR 11,582.40 ",2021
NVMe Micron 2300 NVMe,SSD,954,400," INR 17,440.00 ",2020
Samsung PM981 1TB NVMe,SSD,954,403," INR 19,199.20 ",2017
KXG6AZNV1T02 TOSHIBA,SSD,954,406," INR 11,999.20 ",2019
HP SSD EX950 1TB,SSD,954,462," INR 11,919.20 ",2019
XPG GAMMIX S11 Pro,SSD,954,467," INR 11,446.40 ",2019
Samsung SM961 1TB NVMe,SSD,954,478," INR 15,920.00 ",2016
HP SSD EX920 1TB,SSD,954,501," INR 9,599.20 ",2018
Samsung SSD 960 PRO 1TB,SSD,954,514," INR 9,599.20 ",2016
KXG60ZNV1T02 TOSHIBA,SSD,954,535," INR 17,680.00 ",2019
Intel SSD 760P 1TB,SSD,954,536," INR 18,399.20 ",2018
PLEXTOR PX-1TM9PeGN,SSD,954,592," INR 19,102.40 ",2018
WDC PC SN530 SDBPTPZ-1T00,SSD,954,598," INR 31,894.40 ",2021
ADATA FALCON,SSD,954,599," INR 7,599.20 ",2020
GIGABYTE GP-GSM2NE3100TNTD,SSD,954,642," INR 9,851.20 ",2019
Micron MTFDHBA1T0TCK,SSD,954,647," INR 24,504.00 ",2019
Samsung PM961 1TB NVMe,SSD,954,663," INR 21,199.20 ",2016
Toshiba XG5 SSD 1TB,SSD,954,667," INR 19,120.00 ",2017
INTEL SSDPEKNW010T9,SSD,954,729," INR 9,600.00 ",2020
PC SN530 NVMe WDC 1024GB,SSD,954,745," INR 31,108.80 ",2021
NVMe XPG GAMMIX S5,SSD,954,832," INR 7,599.20 ",2019
XPG GAMMIX S5,SSD,954,836," INR 8,239.20 ",2019
WDC PC SN530 SDBPMPZ-1T00,SSD,954,842," INR 31,108.80 ",2021
PLEXTOR PX-1TM9PeG,SSD,954,843," INR 10,959.20 ",2018
TOSHIBA RD400 NVMe 1TB,SSD,954,928," INR 7,199.20 ",2016
NVMe INTEL SSDPEKNW010T8,SSD,954,930," INR 9,752.00 ",2021
Netac NVMe SSD 1TB,SSD,954,971," INR 13,403.20 ",2020
Intel SSD 660p 1TB,SSD,954,973," INR 6,799.20 ",2018
Patriot P300 1TB,SSD,954,1011," INR 11,584.80 ",2020
HP SSD EX900 1TB,SSD,954,1064," INR 9,199.20 ",2019
INTEL HBRPEKNX0203AH,SSD,954,1091," INR 20,720.00 ",2021
Intel 600P Series 1TB,SSD,954,1344," INR 66,000.00 ",2016
Intel SSD Pro 6000p 1TB,SSD,954,1497," INR 26,400.00 ",2017
Transcend TS1TMTE110S,SSD,954,1513," INR 10,113.60 ",2019
Samsung SSD 860 PRO 1TB,SSD,954,1701," INR 39,992.00 ",2018
ADATA SU800 M.2 SSD 1TB,SSD,954,1737," INR 12,759.20 ",2019
SanDisk SDSSDH3 1T02,SSD,954,1814," INR 9,599.20 ",2019
Samsung SSD 850 PRO 1TB,SSD,954,1926," INR 30,000.00 ",2014
Micron 1100 MTFDDAK1T0TBN,SSD,954,1945," INR 19,999.20 ",2017
Crucial CT1024M550SSD1,SSD,954,2199," INR 36,718.40 ",2014
ADATA SU800 SSD 1TB,SSD,954,2214," INR 9,915.20 ",2017
KINGSTON SKC400S371T,SSD,954,2306," INR 34,056.00 ",2016
Micron M600 MTFDDAK1T0MBF,SSD,954,2403," INR 7,199.20 ",2016
MTFDDAK1T0MBF,SSD,954,2716," INR 63,584.80 ",2015
Transcend TS1TSSD370S,SSD,954,2800," INR 29,904.00 ",2016
GIGABYTE GP-GSTFS31100TNTD,SSD,954,2857," INR 9,360.00 ",2019
Crucial CT1050MX300SSD1,SSD,978,1987," INR 24,756.00 ",2016
Crucial CT1050MX300SSD4,SSD,978,1996," INR 23,999.20 ",2016
Intel DC P3600 1.2TB NVMe,SSD,1100,877," INR 78,159.20 ",2014
Corsair Force MP510 1920GB,SSD,1700,271," INR 19,999.20 ",2019
Samsung 980 PRO with Heatsink 2TB,SSD,1800,9," INR 25,599.20 ",2021
MSI M480 2TB,SSD,1800,32," INR 26,399.20 ",2021
WD BLACK SN850 2TB,SSD,1800,37," INR 33,599.20 ",2020
Samsung SSD 980 PRO 2TB,SSD,1800,50," INR 22,301.60 ",2021
PNY CS3040 2TB SSD,SSD,1800,71," INR 23,920.00 ",2021
CT2000P5PSSD8,SSD,1800,77," INR 22,960.00 ",2021
Corsair MP600 PRO,SSD,1800,80," INR 23,999.20 ",2021
Gigabyte AORUS NVMe Gen4 M.2 2TB,SSD,1800,109," INR 22,577.60 ",2019
Corsair Force MP600 2TB,SSD,1800,110," INR 21,199.20 ",2019
XPG GAMMIX S50,SSD,1800,116," INR 22,676.00 ",2019
Corsair MP600 CORE,SSD,1800,126," INR 18,399.20 ",2021
CT2000P5SSD8,SSD,1800,172," INR 14,160.00 ",2020
Samsung SSD 970 EVO Plus 2TB,SSD,1800,191," INR 39,360.00 ",2019
PNY CS3030 2TB SSD,SSD,1800,206," INR 47,998.40 ",2019
PNY CS2130 2TB SSD,SSD,1800,262," INR 17,599.20 ",2020
Corsair MP400,SSD,1800,281," INR 29,031.20 ",2020
Samsung SSD 970 EVO 2TB,SSD,1800,350," INR 15,999.20 ",2018
HP SSD EX950 2TB,SSD,1800,383," INR 19,999.20 ",2019
WDC WDS200T2B0C,SSD,1800,386," INR 17,999.20 ",2021
MKNSSDPE2TB-D8,SSD,1800,414," INR 15,199.20 ",2019
