,CPU_Name,Price,BenchMarl,cpuValue,TDP,powerPerf
109,Intel Xeon Gold 6246R @ 3.40GHz,252775.8946,30220,8.92,205,147.41
110,Intel Core i9-12900HK,47351.95,30213,47.58,45,671.4
111,Intel Core i9-9990XE @ 4.00GHz,161294.91,30162,13.94,255,118.28
112,Intel Xeon W-3265 @ 2.70GHz,339395.6609,30105,6.61,205,146.85
113,Intel Xeon Platinum 8268 @ 2.90GHz,447865.9286,30103,5.01,205,146.84
114,Intel Xeon Silver 4314 @ 2.40GHz,64674.561,30043,34.64,135,222.54
115,AMD Ryzen Threadripper 2950X,73824.3,29981,30.28,180,166.56
116,Intel Core i9-7980XE @ 2.60GHz,60880.4394,29842,36.55,165,180.86
117,Intel Core i9-12900H,46009.69,29714,48.16,45,660.32
118,Intel Xeon Gold 6254 @ 3.10GHz,270418.4109,29356,8.1,200,146.78
120,Intel Xeon Gold 6148 @ 2.40GHz,210063.69,28962,10.28,150,193.08
121,Intel Xeon Gold 6210U @ 2.50GHz,113711.0473,28915,18.96,150,192.77
122,Intel Xeon Gold 6154 @ 3.00GHz,283287.7015,28848,7.59,200,144.24
123,Intel Core i9-10940X @ 3.30GHz,57567.2943,28619,37.07,165,173.45
124,Intel Xeon Gold 5317 @ 3.00GHz,83462.4725,28580,25.54,150,190.54
125,Intel Core i9-9940X @ 3.30GHz,62743.198,28411,33.77,165,172.19
126,AMD Ryzen 7 5800X,24905.6343,28368,84.94,105,270.17
127,AMD EPYC 7401P,18641.7543,28271,113.09,155,182.4
129,AMD Ryzen Threadripper 1950X,51040.9279,28037,40.96,180,155.76
130,Intel Xeon W-2275 @ 3.30GHz,82921.84,27904,25.09,165,169.12
131,Intel Xeon Gold 6238 @ 2.10GHz,201260.7015,27617,10.23,140,197.26
132,Intel Xeon Gold 6212U @ 2.40GHz,149140,27470,13.73,165,166.48
134,Intel Core i5-12600K,20728.9686,27429,98.67,150,182.86
135,Intel Core i7-12700H,34078.49,27391,59.94,45,608.69
137,Intel Xeon W-2195 @ 2.30GHz,147933.4574,27325,13.77,140,195.18
138,Intel Xeon Gold 6226R @ 2.90GHz,102316.0056,27211,19.83,150,181.41
139,Intel Core i5-12600KF,19461.2786,27186,104.17,150,181.24
140,AMD Ryzen 7 5700X,22296.43,27065,90.52,65,416.38
141,Intel Xeon Gold 6208U @ 2.90GHz,104919.2443,26901,19.12,150,179.34
142,Intel Core i9-7960X @ 2.80GHz,73896.6329,26699,26.94,165,161.81
143,Intel Core i9-10920X @ 3.50GHz,50706.8543,26696,39.26,165,161.79
145,Intel Xeon Gold 6230 @ 2.10GHz,148394.3,26657,13.4,125,213.25
146,Intel Core i9-7940X @ 3.10GHz,40929.2359,26508,48.3,165,160.65
147,Intel Xeon Platinum 8160 @ 2.10GHz,175142.559,26485,11.28,150,176.56
149,AMD EPYC 7272,45148.4065,26446,43.68,120,220.38
150,Intel Xeon Gold 5318Y @ 2.10GHz,101489.77,26400,19.4,165,160
151,Intel Xeon Gold 6242 @ 2.80GHz,183825.4898,26288,10.66,150,175.26
153,Intel Xeon W-2265 @ 3.50GHz,70394.08,25984,27.53,165,157.48
154,Intel Xeon W-3235 @ 3.30GHz,136462.3543,25974,14.19,180,144.3
155,Intel Xeon W-3323 @ 3.50GHz,70766.93,25875,27.27,220,117.61
156,Intel Xeon Gold 5220 @ 2.20GHz,124862.9908,25740,15.37,125,205.92
158,Intel Core i9-11900K @ 3.50GHz,29676.6229,25539,64.17,125,204.31
160,AMD Ryzen 7 5800X3D,44667.43,25508,42.58,105,242.93
161,AMD EPYC 7351P,55107.23,25484,34.48,155,164.41
164,Intel Core i9-11900KF @ 3.50GHz,28335.1086,25390,66.82,125,203.12
165,Intel Core i9-9920X @ 3.50GHz,74495.43,25291,25.32,165,153.28
166,AMD Ryzen Threadripper 2920X,56747.77,25203,33.12,180,140.01
167,Intel Xeon W-1370P @ 3.60GHz,30722.0943,25202,61.17,125,201.62
168,Intel Xeon Gold 5218R @ 2.10GHz,94626.3472,25191,19.85,125,201.52
170,AMD EPYC 7501,269645.12,24925,6.89,155,160.81
171,Intel Xeon Gold 6138T @ 2.00GHz,561362.96,24800,3.29,125,198.4
173,Intel Core i7-11700K @ 3.60GHz,22147.29,24749,83.33,125,197.99
175,Intel Xeon E5-2699 v4 @ 2.20GHz,444285.0772,24619,4.13,145,169.79
176,AMD Ryzen 7 5700G,17374.81,24545,105.34,65,377.62
177,Intel Xeon Gold 6150 @ 2.70GHz,179788.27,24489,10.16,165,148.42
178,Intel Xeon Gold 6246 @ 3.30GHz,232152.8154,24446,7.85,165,148.16
181,Intel Xeon Gold 6248 @ 2.50GHz,219235.8,24234,8.24,150,161.56
182,Intel Core i7-11700KF @ 3.60GHz,20805.03,24147,86.55,125,193.17
183,Intel Xeon W-1370 @ 2.90GHz,28112.1443,23908,63.42,80,298.85
184,Intel Xeon W-11955M @ 2.60GHz,46457.11,23859,38.3,45,530.19
185,AMD Ryzen 7 3800XT,29205.3405,23815,60.81,105,226.81
186,Intel Core i9-11900F @ 2.50GHz,28335.8543,23814,62.67,65,366.37
187,Intel Core i9-10900K @ 3.70GHz,29080.0629,23768,60.95,125,190.14
188,Intel Core i9-11980HK @ 2.60GHz,43474.31,23629,40.53,45,525.09
189,Intel Xeon Silver 4310 @ 2.10GHz,45395.9789,23589,38.75,120,196.57
190,AMD EPYC 7351,65919.1343,23566,26.66,155,152.04
191,Intel Xeon E5-2696 v3 @ 2.30GHz,186275.86,23556,9.43,145,162.45
192,Intel Core i5-12500H,23191.27,23530,75.66,45,522.9
193,Intel Xeon W-1390 @ 2.80GHz,35047.1543,23515,50.03,80,293.94
194,Intel Xeon E5-2679 v4 @ 2.50GHz,201488.14,23512,8.7,200,117.56
195,Intel Core i9-10900KF @ 3.70GHz,25353.0543,23508,69.14,125,188.06
196,Intel Xeon E-2388G @ 3.20GHz,40193.23,23501,43.6,95,247.37
198,Intel Xeon Gold 6146 @ 3.20GHz,228333.34,23432,7.65,165,142.01
200,Intel Core i9-7920X @ 2.90GHz,27963.75,23292,62.11,140,166.37
201,AMD Ryzen 7 3800X,18537.3563,23275,93.63,105,221.67
202,Intel Xeon W-2175 @ 2.50GHz,29455.15,23215,58.77,140,165.82
203,Intel Xeon E5-2696 v4 @ 2.20GHz,208344.8515,23207,8.31,145,160.05
204,Intel Xeon Platinum 8176 @ 2.10GHz,208326.209,23179,8.3,165,140.48
207,Intel Core i9-11900 @ 2.50GHz,25941.4116,23117,66.45,65,355.65
208,Intel Core i9-10850K @ 3.60GHz,30457.3708,23055,56.45,125,184.44
210,Intel Xeon W-1290P @ 3.70GHz,74419.3686,22997,23.04,125,183.97
211,AMD Ryzen Threadripper 1920X,22370.2543,22903,76.35,180,127.24
212,Intel Xeon Gold 6138 @ 2.00GHz,124006.1815,22851,13.74,125,182.81
213,AMD Ryzen 7 PRO 3700,24607.3543,22800,69.09,65,350.76
214,Intel Core i9-11900KB @ 3.30GHz,40193.23,22769,42.24,65,350.29
215,Intel Xeon Gold 6140 @ 2.30GHz,74570,22733,22.73,140,162.38
216,AMD Ryzen 7 3700X,27405.9664,22716,61.81,65,349.48
217,Intel Core i7-12700T,25279.23,22688,66.93,35,648.24
218,Intel Core i9-10900X @ 3.70GHz,41759.2,22683,40.51,165,137.47
219,Intel Core i9-11950H @ 2.60GHz,41460.92,22570,40.59,45,501.56
226,Intel Xeon Gold 6152 @ 2.10GHz,236173.6298,22291,7.04,140,159.22
227,Intel Xeon Gold 6136 @ 3.00GHz,186425,22266,8.91,150,148.44
229,Intel Xeon Gold 6334 @ 3.60GHz,191675.4737,22160,8.62,165,134.3
230,Intel Xeon Gold 5218 @ 2.30GHz,104818.5748,22117,15.73,125,176.94
231,AMD Ryzen 5 5600X,16180.9443,22088,101.79,65,339.82
232,Intel Xeon W-1290E @ 3.50GHz,37285,22066,44.13,95,232.27
234,Intel Xeon W-2255 @ 3.70GHz,58015.46,22042,28.33,165,133.59
235,AMD EPYC 7551,221780.1284,22005,7.4,180,122.25
236,Intel Core i9-9900X @ 3.50GHz,48842.6043,21868,33.39,165,132.54
237,Intel Xeon Gold 6130T @ 2.10GHz,148245.16,21803,10.97,125,174.43
239,Intel Xeon E5-2698 v4 @ 2.20GHz,67761.759,21755,23.94,135,161.15
240,Intel Xeon E5-2697 v4 @ 2.30GHz,65174.18,21545,24.65,145,148.59
243,Intel Core i7-11700F @ 2.50GHz,21624.5543,21447,73.96,65,329.95
245,Intel Core i9-11900H @ 2.50GHz,40715.22,21385,39.17,45,475.22
246,Intel Core i5-12600,17819.9929,21368,89.42,65,328.73
247,Intel Core i7-11800H @ 2.30GHz,29455.15,21363,54.08,45,474.74
248,AMD Ryzen 5 5600,14167.5543,21350,112.37,65,328.46
249,Intel Core i9-7900X @ 3.30GHz,20132.4086,21310,78.93,140,152.21
250,AMD EPYC 7281,81948.7015,21230,19.32,155,136.97
251,Intel Xeon Gold 5315Y @ 3.20GHz,94530.8976,21225,16.74,140,151.61
252,Intel Core i7-11850H @ 2.50GHz,29455.15,21212,53.7,45,471.38
253,Intel Xeon W-2155 @ 3.30GHz,114121.1823,21198,13.85,140,151.41
254,Intel Xeon Gold 6132 @ 2.60GHz,159576.0715,21042,9.83,140,150.3
256,Intel Xeon Silver 4310T @ 2.30GHz,49826.1826,20973,31.39,105,199.74
259,Intel Core i9-10900F @ 2.80GHz,26099.5,20881,59.66,65,321.25
262,AMD EPYC 7262,42650.3115,20827,36.41,155,134.37
263,Intel Xeon Gold 6130 @ 2.10GHz,131988.9,20721,11.71,125,165.77
265,Intel Core i9-10900E @ 2.80GHz,33109.08,20658,46.53,65,317.82
267,Intel Core i7-11700 @ 2.50GHz,23637.9443,20588,64.95,95,216.72
268,AMD Ryzen 7 PRO 4750G,22370.2543,20570,68.57,65,316.46
269,Intel Xeon W-1290 @ 3.20GHz,46158.83,20533,33.17,80,256.66
270,AMD EPYC 7451,150267.4984,20471,10.16,180,113.73
