,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
14,MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3080 Ti Ventus 3X 12G OC),MSI, RTX 3080 Ti Ventus 3X 12G OC , 12 GB , GDDR6X , 1695 MHz ,74399.20
15,Gigabyte GeForce RTX 3080 Ti VISION OC 12GB Graphics Card,Gigabyte, RTX 3080 Ti VISION OC 12GB , 12 GB , GDDR6X , 1770 MHz ,96239.20
16,"GIGABYTE AORUS GeForce RTX 3080 Ti Xtreme 10G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X Video Card",Gigabyte, AORUS RTX 3080 Ti Xtreme 10G , 12 GB , GDDR6X , 1770 MHz ,135999.20
17,ZOTAC GAMING GEFORCE RTX 3080 Ti Trinity OC 12GB,ZOTACGAMING, RTX 3080 Ti Trinity OC 12GB , 12 GB , GDDR6X , 1695 MHz ,83999.20
18,"INNO3D GeForce RTX 3080 Ti iChill X4 LHR, 12288 MB GDDR6X",Inno3D, RTX 3080 Ti iChill X4 , 12 GB , GDDR6X , 1710 MHz ,136400.00
19,XFX Speedster MERC319 Radeon RX 6800XT Black 16GB GDDR6 HDMI DisplayPort USB-C PCIe 4.0 Gaming Graphics Card,XFX, Speedster MERC319 RX-68XTACBD9 , 16 GB , GDDR6 , 2360 MHz ,135919.20
20,Sapphire Radeon RX 6800 XT Pulse OC 16G Graphics Card,SAPPHIRE, RX 6800 XT Pulse OC , 16 GB , GDDR6 , 2310 MHz ,55999.20
21,"PowerColor Red Devil AMD Radeonâ?RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNAâ?2, Raytracing, PCI Express 4.0",PowerColor, Red Devil RX 6800XT 16GB OC , 16 GB , GDDR6 , 2340 MHz ,59399.20
22,MSI Gaming Radeon RX 6800 XT 16GB GDRR6 256-Bit HDMI/DP 2285 MHz RDNA 2 Architecture OC Graphics Card (RX 6800 XT Gaming X Trio 16G),MSI, RX 6800 XT Gaming X Trio 16G , 16 GB , GDDR6 , 2285 MHz ,107992.00
23,ASRock RX 6800 XT PG D 16G OC AMD Radeon RX6800XT Graphics Board 16GB,ASRock, RX 6800 XT PG D , 16 GB , GDDR6 , 2310 MHz ,56120.00
25,Sapphire Nitro+ AMD Radeon RX 6800 XT SE PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6800 XT Nitro+ , 16 GB , GDDR6 , 2190 MHz ,107821.60
26,"ASUS ROG Strix LC AMD Radeon RX 6800 XT OC Edition Gaming Graphics Card ( PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate",ASUS, ROG Strix LC RX 6800 XT OC Edition , 16 GB , GDDR6 , 2360 MHz ,83999.20
28,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",ASUS, GeForce RTX 3080 OC Edition , 10 GB , GDDR6 , 1740 MHz ,79600.00
29,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Graphics Card (PCIe 4.0, 10GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",ASUS, GeForce RTX 3080 , 10 GB , GDDR6 , 1710 MHz ,151917.60
31,PNY GeForce RTX 3080 10GB XLR8 Gaming Uprising Epic-X RGB Triple Fan Graphics Card,PNY, GeForce RTX 3080 , 10 GB , GDDR6 , 1710 MHz ,71920.00
32,MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X 10G OC),MSI, GeForce RTX 3080 VENTUS 3X , 10 GB , GDDR6 , 1710 MHz ,208000.00
33,"ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3080 Trinity OC 10GB , 10 GB , GDDR6X , 1725 MHz ,116720.00
34,MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HDMI/DP 1920 MHz Ampere Architecture OC Graphics Card,MSI, RTX 3080 Suprim X 10G , 10 GB , GDDR6X , 1920 MHz ,111999.20
35,"PowerColor Fighter AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Fighter Radeon RX 6800 , 16 GB , GDDR6 , 2155 MHz ,95440.00
36,"PowerColor Red Devil AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Red Devil RX 6800 OC , 16 GB , GDDR6 , 2190 MHz ,111999.20
37,Sapphire Nitro+ AMD Radeon RX 6800 PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6800 Nitro+ , 16 GB , GDDR6 , 2190MHz ,80773.60
38,"PowerColor Red Dragon AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Red Dragon RX 6800 , 16 GB , GDDR6 , 2170 MHz ,44984.80
39,XFX Speedster QICK319 AMD Radeon RX 6800 Black Gaming Graphics Card with 16GB GDDR6 HDMI 3xDP,XFX, Speedster QICK319 RX 6800 , 16 GB , GDDR6 , 2190 MHz ,172239.20
40,"ASUS TUF Gaming AMD Radeon RX 6800 OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, TUF RX 6800 OC Edition , 16 GB , GDDR6 , 2190 MHz ,61199.20
41,Sapphire 11305-02-20G Pulse AMD Radeon RX 6800 PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6800 Pulse , 16 GB , GDDR6 , 2170 MHz ,47999.20
42,NVIDIA Titan RTX Graphics Card,NVIDIA, TITAN RTX , 24 GB , GDDR6 , 1770 MHz ,271999.20
44,ASUS ROG STRIX GeForce RTX 2080TI-O11G Overclocked 11G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card,ASUS, ROG STRIX GeForce RTX 2080TI , 11 GB , GDDR6 , 1665 MHz ,263999.20
45,NVIDIA GEFORCE RTX 2080 Ti Founders Edition,NVIDIA, GeForce RTX 2080 Ti , 11 GB , GDDR6 , 1635 MHz ,143840.00
