,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
125,MSI Gaming GeForce RTX 2070 8GB GDRR6 256-Bit HDMI/DP DirectX 12 VR Ready Ray Tracing Turing Architecture HDCP Graphics Card ,MSI, GeForce RTX 2070 , 8 GB , GDDR6 , 1620 MHz ,34320.00
126,MSI GAMING GeForce RTX 2070 8GB GDRR6 256-bit HDMI/DP/USB Ray Tracing Turing Architecture HDCP Graphics Card,MSI, GeForce RTX 2070 VENTUS 8G , 8 GB , GDDR6 , 1620 MHz ,47999.20
127,ZOTAC GAMING GeForce RTX 2070 AMP Extreme 8GB GDDR6 256-bit RGB LED Metal Wrap Backplate Graphics Card,ZOTAC, GAMING GeForce RTX 2070 AMP Extreme , 8 GB , GDDR6 , 1860 MHz ,103120.00
130,"EVGA GeForce RTX 3060 XC Gaming, 12GB GDDR6, Dual-Fan, Metal Backplate",EVGA, RTX 3060 XC , 12 GB , GDDR6 , 1882 MHz ,33199.20
131,MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Twin-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X 12G),MSI, GeForce RTX 3060 Gaming X 12G , 12 GB , GDDR6 , 1837 MHz ,34652.00
132,"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control",ZOTAC, RTX 3060 Twin Edge OC , 12 GB , GDDR6 , 1807 MHz ,35366.40
133,"ASUS Phoenix NVIDIA GeForce RTX 3060 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design",ASUS, PH-RTX3060-12G , 12 GB , GDDR6 , 1807 MHz ,39920.00
134,MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),MSI, RTX 3060 Ventus 3X 12G OC , 12 GB , GDDR6 , 1807 MHz ,34800.00
135,"ZOTAC Gaming GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control",ZOTAC, RTX 3060 Twin Edge , 12 GB , GDDR6 , 1777 MHz ,39920.00
136,Nvidia Geforce RTX 2060 Super Founders Edition Graphics Card,NVIDIA, Geforce RTX 2060 , 8 GB , GDDR6 , 1650 MHz ,35920.00
137,MSI Gaming GeForce RTX 2060 Super 8GB GDRR6 256-bit HDMI/DP G-SYNC Turing Architecture Overclocked Graphics Card ,MSI, RTX 2060 Super Gaming X , 8 GB , GDDR6 , 1695 MHz ,35928.00
138,"ASUS Dual NVIDIA GeForce RTX 2060 Super EVO V2 OC Edition Gaming Graphics Card (PCIe 3.0, 8GB GDDR6 Memory, HDMI, DisplayPort, DVI-D, Axial-Tech Fan, 0dB Technology, DirectCU II, Auto-Extreme)",ASUS, GeForce RTX 2060 Super EVO , 8 GB , GDDR6 , 1695 MHz ,33571.20
139,"Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphics Card, 2X Windforce Fans, 8GB 256-bit GDDR6",Gigabyte, GeForce RTX 2060 SUPER , 8 GB , GDDR6 , 1680 MHz ,32335.20
140,"EVGA GeForce RTX 2060 Super SC Ultra Gaming, 8GB GDDR6, Dual HDB Fans",EVGA, GeForce RTX 2060 SUPER , 8 GB , GDDR6 , 1680 MHz ,102800.00
141,MSI Gaming GeForce RTX 2060 Super 8GB GDRR6 256-Bit HDMI/DP G-Sync Turing Architecture Overclocked Graphics Card ,MSI, GeForce RTX 2060 Super , 8 GB , GDDR6 , 1665 MHz ,32888.00
142,"ZOTAC GAMING GeForce RTX 2060 SUPER MINI 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, Ice Storm 2.0, Super Compact",ZOTAC, GeForce RTX 2060 SUPER , 8 GB , GDDR6 , 1650 MHz ,33599.20
143,PowerColor AMD Radeon RX 5700 8GB GDDR6 AXRX 5700 8GBD6-M3DH,PowerColor, AXRX 5700 8GBD6-M3DH , 8 GB , GDDR6 , 1725 MHz ,71920.00
145,"EVGA 06G-P4-2067-KR GeForce RTX 2060 SC Ultra Gaming, 6GB GDDR6, Dual HDB Fans",EVGA, GeForce RTX 2060 SC Ultra Gaming , 6 GB , GDDR6 , 1755 MHz ,28800.00
146,ASUS DUAL RTX 2060 Overclocked 6G VR Ready Gaming Graphics Card â?Turing Architecture,Asus, DUAL-RTX2060-O6G , 6 GB , GDDR6 , 1785 MHz ,38320.00
147,"EVGA GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans",EVGA, GeForce RTX 2060 , 6 GB , GDDR6 , 1755 MHz ,21599.20
149,ASUS TUF Gaming GeForce RTX 2060 Overclocked 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Graphics Card,Asus, TUF-RTX2060-O6G-GAMING , 6 GB , GDDR6 , 1740 MHz ,129296.80
150,MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card ,MSI, GeForce RTX 2060 VENTUS XS , 6 GB , GDDR6 , 1710 MHz ,47920.00
154,MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card,MSI, GeForce RTX 2060 VENTUS 6G OC , 6 GB , GDDR6 , 1710 MHz ,31679.20
155,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card ,ASUS, GeForce RTX 2060 , 6 GB , GDDR6 , 1785 MHz ,25896.80
156,"GIGABYTE GeForce RTX 2060 Windforce OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR6",Gigabyte, GeForce RTX 2060 , 6 GB , GDDR6 , 1770 MHz ,19577.60
157,"ZOTAC Gaming GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact",ZOTAC, GeForce RTX 2060 , 6 GB , GDDR6 , 1680 MHz ,23999.20
158,"ZOTAC Gaming GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, IceStorm 2.0",ZOTAC, GeForce RTX 2060 , 6 GB , GDDR6 , 1680 MHz ,38399.20
159,ASUS ROG STRIX GeForce RTX 2060 Overclocked 6G GDDR6 HDMI DP 1.4 Gaming Graphics Card (ROG-STRIX-RTX-2060-O6G),Asus, ROG-STRIX-RTX2060-O6G-GAMING , 6 GB , GDDR6 , 1860 MHz ,48000.00
160,"GIGABYTE GeForce RTX 2060 Gaming OC Pro 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR6, GV-N2060GAMINGOC PRO-6GD Video Card",Gigabyte, GeForce RTX 2060 , 6 GB , GDDR6 , 1830 MHz ,105520.00
161,"EVGA GeForce RTX 2060 XC Black Edition Gaming, 6GB GDDR6, HDB Fan Graphics Card",EVGA, GeForce RTX 2060 XC Black Edition , 6 GB , GDDR6 , 1680 MHz ,41975.20
163,MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 GAMING X 8G),MSI, GTX 1080 GAMING X 8G , 8 GB , GDDR5X , 1847 MHz ,26640.00
164,Sapphire Radeon Pulse RX 5600 XT 14GBPS 6GB GDDR6 HDMI / Triple DP OC w/ backplate (UEFI) PCIe 4.0 Graphics Card,SapphireTechnology, Radeon RX 5600 XT , 6 GB , GDDR6 , 1750 MHz ,29600.00
165,XFX RX 5600 XT THICC II PRO -14GBPS 6GB GDDR6 BOOST UP TO 1620MHz 3xDP HDMI Graphics Card ,XFX, RX 5600 XT , 6 GB , GDDR6 , 1620 MHz ,38320.00
166,MSI Gaming Radeon RX 5600 XT Boost Clock: 1600 MHz 192-bit 6GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Freesync DirectX 12 Ready Graphics Card,MSI, Radeon RX 5600 XT , 6 GB , GDDR6 , 1420 MHz ,25128.00
168,"ASUS ROG Strix AMD Radeon RX 5600 XT OC Edition Gaming Graphics Card (PCIe 4.0, 6GB, GDDR6 Memory, HDMI, DisplayPort, Axial-tech Fan Design",ASUS, ROG Strix RX 5600 XT OC Edition , 6 GB , GDDR6 , 1770 MHz ,31920.00
169,"EVGA GeForce 08G-P4-5671-KR, GTX 1070 Ti SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, EVGA OCX Scanner OC, White LED, DX12OSD Support (PXOC) Graphics Card",EVGA, 08G-P4-5671-KR , 8 GB , GDDR5 , 1683 MHz ,19317.60
170,MSI Gaming GeForce GTX 1070 Ti 8GB GDRR5 256-bit HDCP Support DirectX 12 SLI Twin Frozr Heat Pipes Dual TORX 2.0 Fan VR Ready Graphics Card (GTX 1070 TI Gaming 8G),MSI, GeForce GTX 1070 TI GAMING 8G , 8 GB , GDDR5 , 1683 MHz ,27920.00
171,GIGABYTE GeForce GTX 1660 Ti Gaming OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 3X Cooling System Graphic Cards,Gigabyte, GV-N166TGAMING OC-6GD , 6 GB , GDDR6 , 1860 MHz ,31920.00
172,MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 1875 MHz ,27920.00
173,MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 TI ARMOR 6G OC , 6 GB , GDDR6 , 1860 MHz ,43159.20
174,Asus TUF Gaming GeForce GTX 1660Ti Overclocked 6GB Dual-Fan Edition HDMI DP DVI Gaming Graphics Card,Asus, TUF-GTX1660TI-O6G-Gaming , 6 GB , GDDR6 , 1830 MHz ,45999.20
175,ASUS GeForce GTX 1660 Ti 6GB Dual-fan Overclocked Edition VR Ready Dual HDMI DP 1.4 Gaming Graphics Card (Dual-GTX1660TI-O6G),Asus, 90YV0CT2-M0AA00 , 6 GB , GDDR6 , 1830 MHz ,26399.20
177,ZOTAC Gaming GeForce GTX 1660 Ti AMP 6GB GDDR6 192-bit Graphics Card Super Compact IceStorm 2.0 Cooling,ZOTAC, ZT-T16610D-10M , 6 GB , GDDR6 , 1860 MHz ,79108.80
178,GIGABYTE GeForce GTX 1660 Ti OC 6G 192-bit GDDR6 DisplayPort 1.4 HDMI 2.0B with Windforce 2X Cooling System Graphic Cards,Gigabyte, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 1800 MHz ,29593.60
179,MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 Ti VENTUS XS 6G OC , 6 GB , GDDR6 , 1830 MHz ,47999.20
182,"EVGA GeForce GTX 1660 Ti XC, Overclocked, 2.75 Slot Extreme Cool, 65C Gaming, 6GB GDDR6, 06G-P4-1263-KR",EVGA, GeForce GTX 1660 Ti XC , 6 GB , GDDR6 , 1845 MHz ,27920.00
183,ZOTAC Gaming GeForce GTX 1660 Ti 6GB GDDR6 192-Bit Gaming Graphics Card Super Compact - ZT-T16610F-10L,ZOTAC, GeForce GTX 1660 Ti , 6 GB , GDDR6 , 1770 MHz ,31920.00
184,MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card ,MSI, GeForce GTX 1660 , 6 GB , GDDR6 , 1815 MHz ,21120.00
185,Asus TUF Gaming GeForce GTX 1660 Super Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card ,ASUS, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 1845 MHz ,22399.20
186,"Gigabyte GeForce GTX 1660 Super OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR6, Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB , GDDR6 , 1830 MHz ,29584.00
187,"EVGA GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",EVGA, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 1830 MHz ,19199.20
188,"Gigabyte GeForce GTX 1660 Super Gaming OC 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR6, OC-6GD Video Card",Gigabyte, GeForce GTX 1660 Super , 6 GB , GDDR6 , 1860 MHz ,54320.00
189,MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1660 SUPER , 6 GB , GDDR6 , 1830 MHz ,26332.80
190,Asus GeForce GTX 1660 Super Overclocked 6GB Dual-Fan Evo Edition VR Ready HDMI DisplayPort DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB , GDDR6 , 1860 MHz ,23247.20
191,ASUS ROG Strix GeForce GTX 1660 Super Advanced 6GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card,ASUS, ROG Strix GeForce GTX 1660 Super , 6 GB , GDDR6 , 1845 MHz ,24897.60
192,"ZOTAC Gaming GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact",ZOTAC, Geforce GTX 1660 SUPER TWIN FAN , 6 GB , GDDR6 , 1785 MHz ,21893.60
193,Asus GeForce GTX 1660 Super Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card ,ASUS, GeForce GTX 1660 Super , 6 GB , GDDR6 , 1830 MHz ,19816.80
194,ASUS GeForce GTX 1070 8GB ROG Strix OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING,Asus, STRIX-GTX1070-O8G-GAMING , 8 GB , GDDR5 , 1860 MHz ,331688.00
195,ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 VR Ready Super Compact Gaming Graphics Card (ZT-P10700G-10M),ZOTAC, ZT-P10700G-10M , 8 GB , GDDR5 , 1708 MHz ,15199.20
196,"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Graphics Card",EVGA, 08G-P4-6276-KR , 8 GB , GDDR5 , 1797 MHz ,60202.40
197,MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card ,MSI, GeForce GTX 1070 , 8 GB , GDDR5 , 797 MHz ,23075.20
198,"EVGA GeForce GTX 1660 XC Black Gaming, 6GB GDDR5, HDB Fan",EVGA, 06G-P4-1161-KR , 6 GB , GDDR5 , 1785 MHz ,25920.00
199,MSI GTX 1660 Ventus XS 6GB GDDR6 Graphics Card,MSI, GTX 1660 Ventus , 6Â GB , GDDR6 , 1830 MHz ,19919.20
200,"EVGA GeForce GTX 1660 XC Ultra Gaming, 6GB GDDR5, HDB Fan, 06G-P4-1167-KR",EVGA, GTX 1660 XC Ultra Gaming , 6 GB , GDDR5 , 1845 MHz ,35575.20
202,"EVGA GeForce GTX 1660 SC Ultra Gaming, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan",EVGA, GeForce GTX 1660 SC Ultra Gaming , 6 GB , GDDR5 , 1830 MHz ,18399.20
203,"EVGA 06G-P4-1163-KR GeForce Graphics Cards, GTX 1660, XC Gaming",EVGA, 06G-P4-1163-KR , 6 GB , GDDR5 , 1830 MHz ,27857.60
205,"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-Bit GDDR5, Video Card",Gigabyte, GeForce GTX 1660 , 6 GB , GDDR5 , 1830 MHz ,26853.60
206,"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600F-10L",ZOTAC, GeForce GTX 1660 , 6 GB , GDDR5 , 1785 MHz ,60000.00
209,"GIGABYTE Radeon RX 5500 XT OC 8G Graphics Card, PCIe 4.0, 8GB 128-Bit GDDR6",Gigabyte, Radeon RX 5500 XT , 8 GB , GDDR6 , 1845 MHz ,20805.60
210,"VisionTek Radeon RX 5500 XT Graphic Card - 8GB GDDR6-1.61 GHz Core, 128 bit Bus Width, DisplayPort, HDMI, DVI",VisionTek, RX 5500 XT , 8 GB , GDDR6 , 1845 MHz ,23600.00
211,ASRock AMD Radeon RX5500XT Video Board GDDR6 4GB CHALLENGER Series RX5500XT Challenger D 4G OC,ASRock, RXRX 5500 XT Challenger D 4G OC , 4 GB , GDDR6 , 1845 MHz ,20796.00
212,ASUS ROG Strix AMD Radeon RX 5500XT Overclocked 8G GDDR6 1440p HDMI DisplayPort Gaming Graphics Card,ASUS, ROG Strix RX 5500XT OC , 8 GB , GDDR6 , 1865 MHz ,23920.00
213,"Gigabyte Radeon RX 5500 XT OC 4G Graphics Card, PCIe 4.0, 4GB 128-Bit GDDR6, Video Card",Gigabyte, RX 5500 XT OC 4G , 4 GB , GDDR6 , 1845 MHz ,15999.20
214,ASUS AMD Radeon RX 5500XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card,ASUS, RX 5500XT EVO Edition OC 8G , 8 GB , GDDR6 , 1865 MHz ,63972.80
215,MSI Gaming Radeon RX 5500 XT Boost Clock: 1845 MHz 128-bit 8GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Crossfire Freesync VR Ready Graphics Card,MSI, RX 5500 XT GAMING X 8G , 8 GB , GDDR6 , 1845 MHz ,41200.00
216,Asus TUF Gaming GeForce GTX 1650 Super Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card ,ASUS, GeForce GTX 1650 Super , 4 GB , GDDR6 , 1800 MHz ,37320.00
217,MSI Gaming GeForce GTX 1650 Super 128-Bit HDMI/DP 4GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GTX 1650 Super Gaming X , 4 GB , GDDR6 , 1755 MHz ,50580.80
218,MSI GeForce GTX 1650 Super Ventus XS OC Gaming GeForce GTX 1650 Super 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card,MSI, GeForce GTX 1650 Super Ventus XS OC , 4 GB , GDDR6 , 1740 MHz ,51199.20
219,"ZOTAC Gaming GeForce GTX 1650 Super Twin Fan 4GB GDDR6 128-Bit Gaming Graphics Card, Super Compact",ZOTAC, GeForce GTX 1650 Super , 4 GB , GDDR6 , 1725 MHz ,31120.00
220,ASUS GeForce GTX 1650 Super Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card,ASUS, GeForce GTX 1650 Super , 4 GB , GDDR6 , 1770 MHz ,19972.80
221,"EVGA GeForce GTX 1650 Super SC Ultra Gaming, 4GB GDDR6, Dual Fan",EVGA, GeForce GTX 1650 Super , 4 GB , GDDR6 , 1755 MHz ,15999.20
222,"Gigabyte GeForce GTX 1650 Super OC 4G Graphics Card, 90mm Fan, 4GB 128-Bit GDDR6",Gigabyte, GeForce GTX 1650 Super , 4 GB , GDDR6 , 1740 MHz ,15916.80
224,XFX RX-590P8DFD6 Radeon RX 590 Fatboy 8GB OC+ 1580MHz DDR5 3xDP HDMI DVI Graphic Cards,XFX, Radeon RX 590 , 8 GB , GDDR5 , 1600 MHz ,24000.00
225,Sapphire Radeon Nitro+ RX 590 8GB GDDR5 Dual HDMI/ DVI-D/ Dual DP OC with Backplate Special Edition (UEFI) PCI-E Graphic Cards 11289-01-20G,Sapphire, Radeon RX 590 , 8 GB , GDDR5 , 1560 MHz ,71908.80
226,"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card ",XFX, Radeon RX 580 , 8Â GB , GDDR5 , 1386 MHz ,39920.00
227,MSI VGA Graphic Cards,MSI, Radeon RX 580 , 8 GB , GDDR5 , 1366 MHz ,51996.00
228,Sapphire Pulse Radeon RX 580 8GB GDDR5 Graphics Card,SapphireTechnology, Radeon RX 580 , 8Â GB , GDDR5 , 1366 MHz ,29359.20
229,ASUS Radeon RX 580 8GB Dual-Fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card ,ASUS, Radeon RX 580 , 8 GB , GDDR5 , 1380 MHz ,35040.00
230,"XFX Radeon RX 580 GTS Black Edition 1405MHz OC+, 8gb 256bit GDDR5, DX12 VR Ready, Double Dissipation, Dual BIOS, 3xDP HDMI DVI",XFX, RX 580 GTS Black Edition , 8 GB , GDDR5 , 1405 MHz ,42396.00
231,PowerColor AMD Radeon RED DRAGON RX 580 8GB GDDR5 1 x DL DVI-D / 1 x HDMI / 3 x DisplayPort Graphics Card,PowerColor, RX 580 , 8 GB , GDDR5 , 1350 MHz ,23120.00
232,Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards ,Gigabyte, RX 580. GAMING 4GD , 4 GB , GDDR5 , 1355 MHz ,26399.20
233,MSI Gaming Radeon RX 580 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphics Card,MSI, Radeon RX 580 8G V1 , 8 GB , GDDR5 , 1340 MHz ,59920.00
234,XFX GTS XXX Edition RX 580 4GB OC+ 1386MHz DDR5 w/Backplate 3xDP HDMI DVI,XFX, RX 580 XXX Edition , 4 GB , GDDR5 , 1386 MHz ,8720.00
235,MSI Gaming Radeon RX 580 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, Radeon RX 580 GAMING X 4G , 4 GB , GDDR5 , 1393 MHz ,63999.20
236,MSI Gaming Radeon RX 580 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphics Card,MSI, RX 580 ARMOR MK2 8G OC , 8 GB , GDDR5 , 1380 MHz ,19120.00
237,"XFX Radeon RX 580 GTS Black Edition 1425MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card",XFX, RX 580 GTS Black Edition , 8 GB , GDDR5 , 1425 MHz ,96000.00
238,ASUS Radeon RX 580 O4G Dual-Fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card,ASUS, DUAL RX 580 O4G , 4 GB , GDDR5 , 1380 MHz ,54399.20
239,Gigabyte Radeon RX 580 Gaming 8GB Graphic Cards ,Gigabyte, RX 580 8GD , 8 GB , GDDR5 , 1355 MHz ,42399.20
240,ASUS ROG-STRIX-RX580-O8G-GAMINGOC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card,ASUS, ROG STRIX RX580 O8G , 8 GB , GDDR5 , 1380 MHz ,22319.20
241,MSI Gaming Radeon RX 580 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 580 ARMOR 4G OC , 4 GB , GDDR5 , 1366 MHz ,11919.20
242,Sapphire Nitro+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX ATX Video Card,SapphireTechnology, RX 580 Nitro+ , 4 GB , GDDR5 , 1411 MHz ,39908.80
243,ASUS PH-GTX1060-3G GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card,Asus, PH-GTX1060-3G , 3 GB , GDDR5 , 1708 MHz ,15840.00
244,"EVGA GeForce GTX 1060 3GB GAMING, ACX 2.0 (Single Fan), 3GB GDDR5, DX12 OSD Suppor Graphics Cards",EVGA, GeForce GTX 1060 3GB , 3 GB , GDDR5 , 1708 MHz ,17599.20
245,MSI GAMING GeForce GTX 1060 6GB GDRR5 192-bit HDCP Support DirectX 12 Dual TORX 2.0 Fan VR Ready Graphics Card ,MSI,  GeForce GTX 1060 6GB , 6 GB , GDDR5 , 1809 MHz ,17520.00
246,PowerColor Red Devil AMD Radeon RX570 4GB GDDR5 AXRX 570 4GBD5-3DH/OC,PowerColor, AXRX 570 4GBD5-3DH/OC , 4 GB , GDDR5 , 1320 MHz ,42880.00
247,MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card ,MSI, Radeon RX 570 ARMOR 8G OC , 8 GB , GDDR5 , 1268 MHz ,27999.20
248,XFX RX 570 4GB GDDR5 RS XXX Edition PCI-Express 3.0 Graphics Card ,XFX, Radeon RX 570 , 4 GB , GDDR5 , 1284 MHz ,13839.20
249,"XFX Radeon RX 570 RS XXX Edition 1286MHz, 8gb GDDR5, DX12 VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card",XFX, Radeon RX 570 , 8 GB , GDDR5 , 1286 MHz ,28799.20
250,MSI Gaming Radeon RX 570 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 570 GAMING X 4G , 4 GB , GDDR5 , 1293 MHz ,6720.00
251,ASUS ROG Strix Radeon Rx 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),ASUS, ROG Strix Rx 570 O4G , 4 GB , GDDR5 , 1310 MHz ,50427.20
252,MSI Gaming Radeon RX 570 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 570 ARMOR 4G OC , 4 GB , GDDR5 , 1244 MHz ,27920.00
253,ASUS ROG Strix Radeon RX570 O8G Gaming GDDR5 DP HDMI DVI VR Ready AMD Graphics Card ,ASUS, ROG Strix RX570 O8G , 8 GB , GDDR5 , 1310 MHz ,15200.00
254,Gigabyte Radeon RX 570 Gaming 4GB Graphic Cards GV-RX570GAMING-4GD,Gigabyte, Radeon RX 570 , 4 GB , GDDR5 , 1255 MHz ,14320.00
255,MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, Radeon RX 570 ARMOR MK2 8G OC , 8 GB , GDDR5 , 1281 MHz ,23999.20
256,MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP 4GB GDRR5 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card ,MSI, GeForce GTX 1650 , 4 GB , GDDR5 , 1860 MHz ,19920.00
257,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card,ASUS, GeForce GTX 1650 , 4Â GB , GDDR5 , 1710 MHz ,15999.20
258,MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP 4GB GDRR5 HDCP Support DirectX 12 VR Ready OC Graphics Card ,MSI, GeForce GTX 1650 , 4 GB , GDDR5 , 1740 MHz ,14720.00
259,"Gigabyte GeForce GTX 1650 OC 4G Graphics Card, 2X Windforce Fans, 4GB 128-Bit GDDR5, Video Card",Gigabyte, GeForce GTX 1650 , 4 GB , GDDR5 , 1710 MHz ,22520.00
260,"ZOTAC GeForce GTX 1050 Ti Mini, 4GB GDDR5 DisplayPort 128-bit Gaming Graphic Card",ZOTAC, ZT-P10510A-10L , 4 GB , GDDR5 , 1417 MHz ,32799.20
261,MSI Computer Video Card ,MSI, GeForce GTX 1050 Ti , 4Â GB , GDDR5 , 1455 MHz ,13159.20
262,MSI GTX 1050 TI 4GT LP Graphic Cards,MSI, GTX 1050 TI 4GT LP , 4 GB , GDDR5 , 1392 MHz ,18787.20
263,Gigabyte GTX 1050 Ti Windforce OC 4GB GDDR5 128-bit PCI-E Graphic Card,Gigabyte, GV-N105TWF2OC-4GD , 4 GB , GDDR5 , 1468 MHz ,10917.60
264,MSI Computer Video Card (GTX 1050 TI 4G OC),MSI, GeForce GTX 1050 TI 4G OC , 4 GB , GDDR5 , 1455 MHz ,10497.60
